37-136	0.31
75-136	0.22
2-13	0.0
13-25	0.0
3-13	0.02
2-25	0.03
13-76	0.0
13-123	0.01
13-132	0.0
9-13	0.0
13-16	0.0
13-15	0.0
13-69	0.01
13-97	0.0
13-81	0.02
13-83	0.0
13-104	0.02
2-123	0.03
13-85	0.01
37-125	0.38
13-84	0.0
13-107	0.05
2-81	0.03
2-9	0.02
92-136	0.47
2-97	0.02
2-15	0.02
13-93	0.0
2-3	0.12
13-17	0.13
13-54	0.04
13-70	0.0
25-76	0.02
13-112	0.02
13-31	0.0
2-83	0.02
2-104	0.01
13-119	0.0
2-17	0.1
9-25	0.02
3-25	0.1
2-84	0.03
58-136	0.35
15-25	0.03
2-85	0.03
13-79	0.0
10-13	0.03
13-95	0.0
2-54	0.03
13-118	0.02
13-98	0.0
25-69	0.03
13-36	0.0
13-134	0.01
2-132	0.14
13-21	0.01
25-107	0.03
2-16	0.15
3-123	0.04
13-27	0.04
25-123	0.13
2-70	0.03
25-83	0.04
13-122	0.0
3-132	0.04
2-107	0.14
13-28	0.0
16-25	0.12
13-22	0.02
13-145	0.02
13-47	0.02
13-86	0.0
13-23	0.0
13-29	0.0
17-25	0.13
4-13	0.01
13-63	0.01
2-76	0.25
13-32	0.06
13-51	0.01
2-93	0.03
2-119	0.03
3-69	0.06
25-54	0.03
17-123	0.02
2-36	0.02
13-34	0.0
13-113	0.0
13-120	0.0
2-31	0.13
13-117	0.02
6-13	0.05
13-30	0.01
13-33	0.01
13-43	0.01
13-155	0.07
129-136	0.62
25-85	0.03
2-95	0.03
13-20	0.0
76-132	0.06
13-38	0.03
13-35	0.01
13-138	0.01
125-136	0.84
25-104	0.19
25-97	0.26
25-132	0.32
13-108	0.02
25-81	0.26
3-76	0.05
3-16	0.05
76-123	0.09
76-81	0.08
2-23	0.03
3-83	0.12
3-81	0.26
3-9	0.24
2-10	0.19
13-55	0.02
136-143	0.6
2-21	0.02
13-67	0.0
3-17	0.34
3-84	0.05
13-44	0.0
13-40	0.0
13-46	0.01
13-99	0.01
13-159	0.01
13-140	0.02
2-79	0.12
2-155	0.11
3-107	0.09
92-125	0.87
3-15	0.05
15-123	0.09
2-22	0.03
97-123	0.04
2-118	0.14
25-31	0.11
2-32	0.11
2-29	0.03
2-28	0.03
2-86	0.03
25-112	0.03
3-54	0.06
15-17	0.03
2-27	0.28
13-139	0.01
25-70	0.04
17-81	0.06
83-123	0.07
2-4	0.03
9-76	0.19
17-132	0.32
17-97	0.02
9-17	0.02
5-13	0.0
2-69	0.48
123-132	0.27
87-136	0.9
25-84	0.41
69-132	0.12
3-85	0.04
2-134	0.03
18-136	0.78
2-43	0.15
2-139	0.15
2-6	0.31
2-112	0.41
2-30	0.12
83-132	0.07
76-97	0.04
2-98	0.03
3-104	0.06
19-136	1.19
17-107	0.16
69-123	0.37
15-132	0.33
25-118	0.27
69-76	0.37
16-81	0.08
10-25	0.12
84-123	0.31
25-29	0.2
9-123	0.71
81-123	0.86
2-47	0.03
17-104	0.07
25-79	0.03
16-123	0.06
9-132	0.05
16-132	0.06
11-136	1.41
15-85	0.08
70-81	0.07
83-104	0.03
81-107	0.07
16-76	0.15
25-95	0.03
16-97	0.07
2-120	0.17
13-26	0.02
2-38	0.16
9-107	0.36
15-84	0.31
81-97	0.06
2-46	0.03
2-33	0.02
16-69	0.26
2-122	0.02
13-53	0.0
13-137	0.03
25-28	0.5
8-136	1.73
9-15	0.99
25-93	0.22
2-113	0.04
9-83	0.09
17-83	0.64
13-45	0.02
12-136	1.84
9-16	0.05
25-33	0.03
9-81	0.06
17-69	0.03
69-81	0.05
2-138	0.04
2-159	0.03
13-148	0.04
81-85	0.39
17-85	0.16
25-98	0.14
3-97	0.74
2-117	0.06
25-155	0.03
2-41	0.03
21-25	0.04
9-104	0.03
54-81	0.08
13-157	0.01
13-146	0.01
83-107	0.08
69-84	0.07
31-132	0.07
13-149	0.01
25-35	0.03
25-138	0.03
69-70	0.11
112-132	0.08
81-119	0.07
25-55	0.04
81-132	1.16
25-134	0.03
15-83	0.07
2-20	0.14
15-107	0.25
3-112	0.33
16-107	0.86
15-76	1.01
81-83	0.87
16-104	0.32
2-63	0.02
17-76	0.12
13-41	0.03
16-17	0.35
15-97	0.86
31-123	0.42
3-32	0.12
3-155	0.19
15-16	0.26
13-96	0.0
97-132	0.03
2-51	0.08
15-81	0.75
25-27	0.23
2-40	0.02
69-107	0.1
13-49	0.0
9-85	0.07
13-39	0.0
25-122	0.03
119-123	0.26
13-114	0.01
16-93	0.27
85-107	0.49
107-123	0.83
9-54	0.66
3-70	0.65
70-132	0.72
13-144	0.03
15-119	0.62
3-117	0.48
54-93	0.22
17-118	0.1
31-83	0.28
95-132	0.23
97-119	0.29
81-98	0.06
2-149	0.03
9-69	0.04
76-107	0.04
2-53	0.36
17-119	0.53
54-123	0.41
17-70	0.11
3-27	0.23
3-28	0.24
5-25	0.14
81-95	0.27
31-104	0.14
122-123	0.31
20-25	0.28
17-36	0.51
118-123	0.33
16-112	0.34
2-105	0.19
17-27	0.89
51-123	0.07
13-126	0.02
25-117	0.38
17-155	0.64
15-93	0.24
79-132	0.38
3-113	0.06
10-69	0.2
2-140	0.12
15-69	0.17
