search	psearch_time	psearch_conv_time	arch_extraction_time	raw_hits_cnt	pct_query_w_raw_hits	usable_hits_cnt	pct_query_w_usable_hits	arch_cnt	pct_query_w_arch	threads
90-pfama.mmseqs	36.020	0.120	0.110	1159	34.991	804	26.125	350	15.138	1
19-pfama.mmseqs	44.360	0.110	0.120	983	21.276	601	13.545	268	8.422	1
71-pfama.mmseqs	46.550	0.040	0.060	1179	34.092	816	25.790	347	14.623	1
8-pfama.mmseqs	47.730	0.100	0.070	1625	39.856	1193	31.741	300	11.377	1
37-pfama.mmseqs	49.540	0.030	0.070	1562	36.035	1135	29.406	330	10.830	1
160-pfama.mmseqs	49.420	0.050	0.050	1084	31.302	768	24.207	343	14.316	1
127-pfama.mmseqs	50.100	0.040	0.070	1902	50.483	1414	44.239	372	14.988	1
68-pfama.mmseqs	50.540	0.050	0.060	1512	41.815	1115	34.839	322	12.763	1
59-pfama.mmseqs	50.880	0.020	0.070	1201	32.412	827	24.078	353	13.556	1
94-pfama.mmseqs	51.240	0.020	0.060	1589	53.601	843	28.808	318	13.880	1
130-pfama.mmseqs	51.390	0.020	0.060	1077	32.015	707	22.432	310	13.322	1
143-pfama.mmseqs	51.830	0.050	0.060	1248	35.410	951	29.635	395	15.008	1
88-pfama.mmseqs	51.630	0.080	0.060	1157	34.741	804	25.991	353	15.216	1
65-pfama.mmseqs	51.840	0.030	0.060	1118	32.043	749	23.263	323	13.442	1
74-pfama.mmseqs	52.580	0.020	0.130	1201	31.820	817	23.586	347	13.351	1
147-pfama.mmseqs	53.600	0.110	0.070	1508	44.123	916	27.697	275	10.197	1
12-pfama.mmseqs	54.300	0.040	0.060	1592	41.995	1014	27.378	276	9.148	1
18-pfama.mmseqs	54.620	0.060	0.050	929	18.725	590	12.594	251	7.581	1
72-pfama.mmseqs	54.360	0.030	0.070	1168	33.306	778	24.002	330	13.586	1
89-pfama.mmseqs	54.170	0.080	0.090	1151	34.689	812	26.557	360	15.571	1
142-pfama.mmseqs	54.850	0.040	0.060	1168	32.043	823	24.729	248	9.598	1
111-pfama.mmseqs	54.950	0.030	0.070	1104	32.533	788	25.242	360	15.171	1
11-pfama.mmseqs	55.410	0.030	0.090	1587	41.997	1010	27.354	273	9.085	1
57-pfama.mmseqs	55.280	0.040	0.070	1508	42.264	1095	34.932	317	12.772	1
58-pfama.mmseqs	55.470	0.030	0.080	1559	39.890	1136	32.965	323	11.897	1
75-pfama.mmseqs	55.510	0.070	0.080	1301	31.696	881	23.145	364	12.862	1
125-pfama.mmseqs	58.600	0.050	0.080	1851	40.897	1246	29.507	361	10.652	1
24-pfama.mmseqs	58.550	0.110	0.080	802	20.787	596	17.425	242	9.922	1
92-pfama.mmseqs	59.060	0.040	0.130	1461	33.986	1131	30.068	336	11.351	1
129-pfama.mmseqs	59.290	0.030	0.080	1050	26.521	723	19.542	270	9.664	1
136-pfama.mmseqs	59.540	0.170	0.090	1957	42.461	1280	28.560	283	7.408	1
87-pfama.mmseqs	64.220	0.090	0.340	2102	52.933	1404	42.740	369	13.197	1
131-pfama.mmseqs	39.710	0.020	0.040	1185	35.517	865	29.590	233	10.383	1
150-pfama.mmseqs	32.850	0.090	0.050	1700	56.600	1212	43.937	679	30.380	1
105-pfama.mmseqs	26.120	0.090	0.160	946	34.391	619	24.816	224	12.691	1
80-pfama.mmseqs	30.050	0.050	0.030	1055	31.113	689	24.453	248	12.326	1
77-pfama.mmseqs	36.430	0.060	0.040	1134	34.619	758	25.336	318	14.260	1
156-pfama.mmseqs	31.250	0.040	0.210	1016	36.685	769	30.369	351	17.736	1
73-pfama.mmseqs	33.270	0.100	0.090	1115	36.194	749	26.726	330	15.392	1
48-pfama.mmseqs	33.800	0.030	0.040	1127	35.906	783	27.126	345	15.943	1
133-pfama.mmseqs	29.210	0.070	0.050	1457	47.556	998	39.209	299	16.420	1
153-pfama.mmseqs	29.050	0.080	0.040	1468	61.873	1071	49.201	370	20.386	1
128-pfama.mmseqs	32.790	0.040	0.040	857	24.795	620	20.976	250	12.083	1
56-pfama.mmseqs	32.620	0.020	0.040	1077	36.232	733	26.737	313	15.642	1
1-pfama.mmseqs	35.250	0.030	0.030	1073	34.480	684	24.072	245	11.233	1
151-pfama.mmseqs	33.350	0.020	0.040	1092	30.611	787	26.854	276	13.828	1
62-pfama.mmseqs	35.720	0.020	0.040	1350	42.680	916	31.538	300	13.812	1
110-pfama.mmseqs	32.930	0.020	0.040	961	32.410	734	28.205	247	12.667	1
101-pfama.mmseqs	31.090	0.070	0.050	1265	43.277	879	34.839	327	17.801	1
135-pfama.mmseqs	31.890	0.020	0.050	957	33.795	745	30.335	243	12.932	1
50-pfama.mmseqs	33.230	0.060	0.050	1189	45.591	691	28.942	317	16.442	1
106-pfama.mmseqs	39.510	0.110	0.050	1269	38.861	955	33.710	407	18.391	1
42-pfama.mmseqs	33.330	0.050	0.050	1014	34.633	717	26.833	297	15.445	1
7-pfama.mmseqs	33.590	0.080	0.300	1231	45.612	898	38.457	309	17.272	1
158-pfama.mmseqs	33.350	0.120	0.460	1230	45.388	842	36.445	299	16.817	1
141-pfama.mmseqs	35.570	0.060	0.050	858	31.225	619	25.353	249	14.060	1
103-pfama.mmseqs	40.170	0.100	0.050	1071	35.663	792	29.631	314	15.031	1
100-pfama.mmseqs	36.880	0.030	0.050	1267	42.689	882	34.387	328	17.568	1
82-pfama.mmseqs	27.310	0.020	0.040	994	38.333	660	28.512	279	16.607	1
116-pfama.mmseqs	33.440	0.100	0.050	913	34.247	683	29.755	244	14.236	1
109-pfama.mmseqs	35.700	0.070	0.040	989	34.144	706	28.646	263	15.220	1
126-pfama.mmseqs	37.250	0.110	0.260	863	30.629	630	26.057	242	13.829	1
102-pfama.mmseqs	38.570	0.050	0.190	1223	44.855	850	35.838	325	18.786	1
144-pfama.mmseqs	39.810	0.110	0.080	1276	47.799	955	39.966	383	21.898	1
115-pfama.mmseqs	25.910	0.050	0.200	1179	43.636	882	39.498	243	15.235	1
114-pfama.mmseqs	29.930	0.090	0.100	1179	42.664	868	37.508	290	17.802	1
117-pfama.mmseqs	22.340	0.070	0.090	774	36.703	592	31.502	216	15.824	1
108-pfama.mmseqs	26.220	0.060	0.060	933	43.163	720	37.845	231	15.953	1
152-pfama.mmseqs	30.500	0.060	0.050	1112	45.010	812	36.936	322	20.470	1
124-pfama.mmseqs	27.990	0.070	0.140	1017	49.689	731	38.908	282	19.489	1
148-pfama.mmseqs	28.220	0.180	0.070	955	43.356	693	35.959	273	18.699	1
146-pfama.mmseqs	31.840	0.060	0.200	1119	52.138	850	43.082	220	13.836	1
155-pfama.mmseqs	26.240	0.060	0.050	690	32.975	509	27.454	199	15.261	1
14-pfama.mmseqs	30.760	0.140	0.070	906	35.908	646	30.429	258	17.030	1
149-pfama.mmseqs	30.860	0.070	0.050	851	35.055	599	28.719	242	16.667	1
78-pfama.mmseqs	30.050	0.030	0.030	1026	47.122	746	39.019	288	20.469	1
38-pfama.mmseqs	24.850	0.080	0.160	876	43.093	629	34.223	264	20.722	1
137-pfama.mmseqs	30.320	0.050	0.120	811	36.119	613	31.250	247	17.951	1
64-pfama.mmseqs	32.600	0.040	0.100	1055	47.288	794	40.542	355	24.687	1
157-pfama.mmseqs	33.040	0.070	0.160	1135	55.444	863	45.901	248	16.667	1
91-pfama.mmseqs	31.920	0.070	0.350	1106	49.964	823	42.470	350	24.982	1
154-pfama.mmseqs	34.520	0.070	0.130	865	33.548	602	26.968	245	15.806	1
61-pfama.mmseqs	32.820	0.030	0.190	890	38.558	631	31.141	261	18.265	1
5-pfama.mmseqs	31.590	0.290	0.060	861	38.040	585	30.358	247	18.069	1
26-pfama.mmseqs	29.890	0.060	0.050	1004	49.268	765	42.714	341	26.291	1
6-pfama.mmseqs	27.960	0.070	0.040	851	40.747	592	33.360	249	19.778	1
99-pfama.mmseqs	23.820	0.090	0.060	870	43.644	607	34.413	261	21.134	1
121-pfama.mmseqs	37.030	0.080	0.040	1120	41.921	801	35.433	306	19.466	1
52-pfama.mmseqs	34.880	0.100	0.130	1128	54.565	864	47.319	377	27.319	1
33-pfama.mmseqs	29.450	0.110	0.040	868	43.695	625	34.779	262	21.044	1
138-pfama.mmseqs	23.750	0.070	0.040	922	49.593	701	43.322	231	18.811	1
96-pfama.mmseqs	34.410	0.060	0.050	1058	50.732	801	44.102	346	26.677	1
35-pfama.mmseqs	32.650	0.080	0.040	867	43.207	619	34.123	259	20.458	1
49-pfama.mmseqs	30.970	0.060	0.050	1032	52.538	789	46.172	350	28.203	1
39-pfama.mmseqs	29.160	0.030	0.070	1032	52.585	790	46.284	350	28.271	1
159-pfama.mmseqs	26.890	0.070	0.050	905	48.660	693	42.242	237	19.253	1
4-pfama.mmseqs	22.680	0.060	0.040	799	38.848	546	31.523	224	18.436	1
66-pfama.mmseqs	28.130	0.030	0.100	1047	55.592	815	49.714	346	28.245	1
55-pfama.mmseqs	22.140	0.050	0.030	970	51.701	735	44.728	315	26.786	1
86-pfama.mmseqs	22.780	0.090	0.030	920	49.020	658	41.006	256	21.824	1
95-pfama.mmseqs	19.720	0.040	0.100	809	44.611	565	34.894	246	21.731	1
98-pfama.mmseqs	21.940	0.030	0.050	840	45.984	600	37.158	251	22.154	1
53-pfama.mmseqs	23.700	0.070	0.300	971	52.941	760	47.322	312	27.392	1
45-pfama.mmseqs	25.610	0.030	0.030	1051	58.117	803	51.382	315	27.202	1
122-pfama.mmseqs	22.780	0.060	0.040	861	48.661	658	42.054	280	25.000	1
60-pfama.mmseqs	26.510	0.040	0.160	987	54.268	766	48.432	311	27.091	1
