query	qlen	totqcov	uniq_doms	tot_doms	missing_doms	repeated_doms	max_repeated_doms	arch_size	arch	arch_types
117.1003	413	0.901	1	1	2	0	0	3	m:1-5,PF00464@CL0061:6-377,m:378-413	2
117.1004	146	0.815	1	1	2	0	0	3	m:1-13,PF00572:14-132,m:133-146	1
117.1005	133	0.910	1	1	1	0	0	2	m:1-12,PF00380@CL0329:13-133	1
117.1016	87	0.874	1	1	2	0	0	3	m:1-6,PF02823:7-82,m:83-87	2
117.1018	285	0.968	1	1	1	0	0	2	m:1-6,PF00231:7-282	2
117.1019	523	0.771	3	3	4	0	1	7	m:1-28,PF02874@CL0275:29-92,m:93-148,PF00006@CL0023:149-364,m:365-370,PF00306:371-493,m:494-523	222
117.1020	181	0.906	1	1	2	0	0	3	m:1-10,PF00213@CL0255:11-174,m:175-181	1
117.1024	207	0.976	1	1	0	0	0	1	PF14681@CL0533:5-206	2
117.1034	118	0.924	1	1	1	0	0	2	PF01245@CL0107:5-113,m:114-118	1
117.1035	241	0.743	1	1	2	0	0	3	m:1-39,PF01746@CL0098:40-218,m:219-241	1
117.1056	105	0.876	1	1	1	0	0	2	PF00825@CL0329:1-92,m:93-105	1
117.1069	687	0.709	3	3	4	0	1	7	m:1-5,PF00359@CL0340:6-143,m:144-166,PF02302@CL0031:167-248,m:249-298,PF02378@CL0493:299-565,m:566-687	221
117.1070	311	0.820	1	1	2	0	0	3	m:1-35,PF00294@CL0118:36-290,m:291-311	2
117.1071	287	0.882	1	1	2	0	0	3	m:1-22,PF01226@CL0716:23-275,m:276-287	1
117.1072	143	0.965	1	1	0	0	0	1	PF02502:3-140	1
117.1079	332	0.777	2	2	2	0	1	4	PF00044@CL0063:2-103,m:104-156,PF02800@CL0139:157-312,m:313-332	22
117.1086	340	0.859	1	1	1	0	0	2	PF00579@CL0039:1-292,m:293-340	1
117.1087	383	0.922	3	3	3	0	1	6	m:1-6,PF00438:7-103,m:104-112,PF02772:113-228,PF02773:230-369,m:370-383	222
117.1088	273	0.960	1	1	2	0	0	3	m:1-5,PF08282@CL0137:6-267,m:268-273	2
117.1119	91	1.000	1	1	0	0	0	1	PF00216@CL0548:1-91	2
117.1124	277	0.964	1	1	1	0	0	2	m:1-6,PF08282@CL0137:7-273	2
117.1133	214	0.841	1	1	2	0	0	3	m:1-6,PF02223@CL0023:7-186,m:187-214	2
117.1137	91	0.769	1	1	1	0	0	2	m:1-20,PF00958:21-90	2
117.1141	988	0.973	1	1	1	0	0	2	PF02463@CL0023:3-963,m:964-988	2
117.115	91	0.802	1	1	2	0	0	3	m:1-9,PF04296:10-82,m:83-91	1
117.1153	121	0.884	2	2	1	0	1	3	PF16320:4-44,m:45-55,PF00542:56-121	22
117.1182	419	0.983	1	1	1	0	0	2	PF00145@CL0063:2-413,m:414-419	2
117.12	194	0.928	1	1	1	0	0	2	m:1-10,PF00265@CL0023:11-190	1
117.1214	419	0.983	1	1	1	0	0	2	PF00145@CL0063:2-413,m:414-419	2
117.123	288	0.750	1	1	2	0	0	3	m:1-18,PF00398@CL0063:19-234,m:235-288	2
117.1237	112	0.920	1	1	1	0	0	2	m:1-5,PF02033@CL0494:6-108	1
117.126	525	0.964	1	1	1	0	0	2	PF01676@CL0088:5-510,m:511-525	1
