#Annotated with Bakta v1.11.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	44	259	+	CR182_00001	8.3	8.1		
contig_1	286	714	+	CR182_00002	15.9	6.1		
contig_1	855	944	-	CR182_00003	3.2	5.1		
contig_1	1138	1284	-	CR182_00004	5.6	7.9		
contig_1	1709	2017	-	CR182_00005	12.1	9.2	PF01327.26|Pep_deformylase	PFAM:PF01327.26
contig_1	2841	2960	-	CR182_00007	4.5	4.1		
contig_1	3061	3195	+	CR182_00008	5.3	9.8		
contig_1	3185	3355	+	CR182_00009	6.1	8.9		
contig_1	3385	3552	+	CR182_00010	6.6	4.7		
contig_1	3633	3791	+	CR182_00011	6.1	10.5		
contig_1	4901	5035	+	CR182_00013	5.0	5.0		
contig_1	5703	5843	-	CR182_00015	5.3	9.7		
contig_1	5847	6140	-	CR182_00016	10.8	5.7		
contig_1	12059	12304	+	CR182_00026	9.7	8.8		SO:0001217, UniRef:UniRef50_UPI00313B0AD9, UniRef:UniRef90_UPI00313B0AD9
contig_1	13125	13304	+	CR182_00027	6.9	10.6		
contig_1	15603	16082	-	CR182_00031	19.3	9.8		
contig_1	17517	17645	-	CR182_00033	5.0	9.7		
contig_1	17844	18239	-	CR182_00034	14.6	10.4		
contig_1	39034	39153	+	CR182_00054	4.7	5.6		
contig_1	41210	41389	-	CR182_00057	6.4	9.3		
contig_1	41420	41794	-	CR182_00058	14.6	6.5		SO:0001217, UniRef:UniRef50_A0A2P6F8I2
contig_1	42930	43091	-	CR182_00060	6.1	9.7		SO:0001217, UniRef:UniRef50_A0A2P6F8M3, UniRef:UniRef50_A0A2P6F9B6, UniRef:UniRef90_A0A2P6F8M3
contig_1	45148	45501	-	CR182_00063	14.0	7.9		SO:0001217, UniRef:UniRef50_A0A3S0URV8, UniRef:UniRef90_A0A2P6F8F3
contig_1	51165	51323	-	CR182_00073	6.3	8.1		
contig_1	54650	54799	+	CR182_00077	5.6	8.9		
contig_1	55884	56018	-	CR182_00080	5.2	8.1		SO:0001217, UniRef:UniRef50_UPI00209CA79B, UniRef:UniRef90_UPI00209CA79B
contig_1	65316	65834	+	CR182_00090	20.1	9.7		SO:0001217, UniRef:UniRef50_A0A2P6FEU9, UniRef:UniRef90_UPI0032B1E97C
contig_1	67046	67186	-	CR182_00092	5.5	6.7		SO:0001217, UniRef:UniRef50_A0A3S0SE02, UniRef:UniRef90_UPI001F4CCD42
contig_1	69647	69817	-	CR182_00095	6.6	6.2		SO:0001217, UniRef:UniRef50_UPI00209CA79B, UniRef:UniRef90_UPI00209CA79B
contig_1	70312	70719	+	CR182_00097	16.0	9.2		SO:0001217, UniRef:UniRef50_A0A345DRC1, UniRef:UniRef50_UPI002412E1AB, UniRef:UniRef90_UPI002412E1AB, UniRef:UniRef90_UPI0032B171E8
contig_1	71682	71993	+	CR182_00100	12.4	8.6		SO:0001217, UniRef:UniRef50_UPI0037DD4F22, UniRef:UniRef90_UPI0032B30293
contig_1	73006	73236	+	CR182_00103	8.8	9.5		SO:0001217, UniRef:UniRef50_UPI0037DCA685, UniRef:UniRef90_UPI0037DCA685
contig_1	74375	74632	-	CR182_00107	9.8	9.4		
contig_1	74830	74940	-	CR182_00108	4.2	4.5		SO:0001217, UniRef:UniRef50_A0A3S0RSB4, UniRef:UniRef90_A0A3S0RSB4
