# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	3	1352	+	GCF_964030635_00001	dnaA	(5' truncated) chromosomal replication initiator protein DnaA	GO:0003677, GO:0003688, GO:0005524, GO:0005737, GO:0005886, GO:0006270, GO:0006275, GO:0016887, KEGG:K02313, SO:0001217, UniRef:UniRef50_P34028, UniRef:UniRef90_P34028
contig_1	cds	1521	2639	+	GCF_964030635_00002	dnaN	DNA polymerase III subunit beta	EC:2.7.7.7, GO:0003677, GO:0003887, GO:0005737, GO:0006260, GO:0006271, GO:0008408, GO:0009360, KEGG:K02338, SO:0001217, UniRef:UniRef50_P34029, UniRef:UniRef90_P34029
contig_1	cds	2776	3624	-	GCF_964030635_00003		hypothetical protein	PFAM:PF00665.32, PFAM:PF13276.12, PFAM:PF13683.12
contig_1	cds	3760	3993	-	GCF_964030635_00004		hypothetical protein	PFAM:PF13384.12, PFAM:PF13518.12
contig_1	cds	4666	4971	-	GCF_964030635_00005	insA	InsA N-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2S8NPX2
contig_1	tRNA	5460	5526	+	GCF_964030635_00006		(pseudo) tRNA-Xxx	
contig_1	cds	5836	6135	+	GCF_964030635_00007		hypothetical protein	
contig_1	cds	6142	6603	+	GCF_964030635_00008		hypothetical protein	
contig_1	cds	6657	7607	-	GCF_964030635_00009		IS30 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_UPI0030D2B8B1, UniRef:UniRef90_UPI00313E6C49
contig_1	cds	7848	8744	-	GCF_964030635_00010		hypothetical protein	
contig_1	tRNA	8887	8962	+	GCF_964030635_00011	trnH	tRNA-His(gtg)	SO:0000262
contig_1	cds	9027	9254	-	GCF_964030635_00012		DDE Tnp4 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0U8T3
contig_1	cds	9401	9853	-	GCF_964030635_00013		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0SKZ0
contig_1	cds	9962	10558	-	GCF_964030635_00014		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_UPI0030CC6F38, UniRef:UniRef90_UPI0030D4CDF8
contig_1	cds	10942	11082	-	GCF_964030635_00015		(pseudo) transposase family protein	SO:0001217, UniRef:UniRef50_A0A432ZV48, UniRef:UniRef90_UPI0030D3635F
contig_1	cds	11211	11762	-	GCF_964030635_00016		DJ-1 family glyoxalase III	SO:0001217, UniRef:UniRef50_W0GL58, UniRef:UniRef90_Q14ME4
contig_1	cds	11898	12194	+	GCF_964030635_00017		IS1 family transposase	SO:0001217, UniRef:UniRef50_A0A2S8NPX2, UniRef:UniRef90_UPI00313D9A92
contig_1	cds	12284	12736	+	GCF_964030635_00018		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0SKZ0
contig_1	cds	12883	13113	+	GCF_964030635_00019		DDE Tnp4 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0U8T3
contig_1	cds	14105	14788	-	GCF_964030635_00020		IS3 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_UPI002481DC89, UniRef:UniRef90_UPI0030CFC166
contig_1	cds	14962	15225	-	GCF_964030635_00021		transposase family protein	SO:0001217, UniRef:UniRef50_A0A432ZV48, UniRef:UniRef90_UPI0030D2CBE0
contig_1	cds	15343	15612	-	GCF_964030635_00022		hypothetical protein	
contig_1	cds	15769	16491	-	GCF_964030635_00023		hypothetical protein	
contig_1	cds	16498	16797	-	GCF_964030635_00024		hypothetical protein	
contig_1	cds	16979	19087	+	GCF_964030635_00025		hypothetical protein	PFAM:PF01011.27, PFAM:PF13360.12, PFAM:PF13570.12, SO:0001217, UniRef:UniRef50_A0A433EMR4, UniRef:UniRef90_UPI0030D15A56
contig_1	cds	19437	19712	+	GCF_964030635_00026		transposase	SO:0001217, UniRef:UniRef50_J8DD51, UniRef:UniRef90_UPI0030D26C5A
contig_1	cds	19754	20554	+	GCF_964030635_00027		Integrase catalytic domain-containing protein	SO:0001217, UniRef:UniRef50_A0A9W5PXP5
contig_1	cds	20760	21401	-	GCF_964030635_00028		transposase	SO:0001217, UniRef:UniRef50_UPI00313D3AE9
contig_1	cds	21881	22150	-	GCF_964030635_00029		hypothetical protein	
contig_1	cds	22597	23580	-	GCF_964030635_00030		hypothetical protein	PFAM:PF00665.32
contig_1	cds	23969	24367	+	GCF_964030635_00031		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JGV9
contig_1	cds	24360	25820	+	GCF_964030635_00032		PBSX family phage terminase large subunit	KEGG:K06909, SO:0001217, UniRef:UniRef50_W0GPI8, UniRef:UniRef90_A0A432ZV87
contig_1	cds	25820	26098	+	GCF_964030635_00033		Adhesin P12	SO:0001217, UniRef:UniRef50_A0A2P6F9F7, UniRef:UniRef90_UPI0030CD22FE
contig_1	cds	26091	27482	+	GCF_964030635_00034		Adhesin P54	SO:0001217, UniRef:UniRef50_A0A2P6FF31, UniRef:UniRef90_A0A2P6FA19
contig_1	cds	27486	30200	+	GCF_964030635_00035		Adhesin P123	SO:0001217, UniRef:UniRef50_A0A3S0SMD3, UniRef:UniRef90_UPI0011BAFF26
contig_1	cds	30395	30847	-	GCF_964030635_00036		hypothetical protein	
contig_1	cds	30887	33109	-	GCF_964030635_00037		hypothetical protein	PFAM:PF07494.17
contig_1	cds	33421	33882	+	GCF_964030635_00038		P18	SO:0001217, UniRef:UniRef50_A0A2P6FFS4, UniRef:UniRef90_A0A2P6FFS4
contig_1	cds	33900	35306	+	GCF_964030635_00039		Capsid protein	SO:0001217, UniRef:UniRef50_A0A3S0RR73, UniRef:UniRef90_A0A432ZUL1
contig_1	cds	35313	36230	+	GCF_964030635_00040		Spiroplasma plectrovirus-related protein	SO:0001217, UniRef:UniRef50_A0A345DQG0, UniRef:UniRef90_UPI0030CC2682
contig_1	cds	36220	37242	+	GCF_964030635_00041		DUF3688 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2P6F9G9
contig_1	cds	37258	37911	+	GCF_964030635_00042		Transmembrane protein	SO:0001217, UniRef:UniRef50_A0A2P6FFU6, UniRef:UniRef90_A0A2P6FFU6
contig_1	cds	38045	38332	+	GCF_964030635_00043	ytxH	YtxH domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2P6FA36, UniRef:UniRef90_A0A432ZUT3
contig_1	cds	38358	38537	-	GCF_964030635_00044		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2P6FFW2, UniRef:UniRef90_UPI0030D2A146
contig_1	cds	38542	39012	-	GCF_964030635_00045		Spiroplasma plectrovirus-related protein	SO:0001217, UniRef:UniRef50_A0A345DLT5
contig_1	cds	39123	39863	-	GCF_964030635_00046	recT	recombinase RecT	KEGG:K07455, SO:0001217, UniRef:UniRef50_A0A0K2JFY0, UniRef:UniRef90_UPI0037DCEEC9
contig_1	cds	39866	40642	-	GCF_964030635_00047		Phage protein	SO:0001217, UniRef:UniRef50_A0AAI9T4X2, UniRef:UniRef90_UPI0030D53007
contig_1	cds	40645	40791	-	GCF_964030635_00048		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2P6FG49
contig_1	cds	40784	41074	-	GCF_964030635_00049		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2P6FGE5, UniRef:UniRef90_UPI0030D1B4AB
contig_1	cds	41088	41255	-	GCF_964030635_00050		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JHY1, UniRef:UniRef90_UPI0030CE4450
contig_1	cds	41265	41546	-	GCF_964030635_00051		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JGU8, UniRef:UniRef90_A0A2P6FFS2
contig_1	cds	42099	42338	-	GCF_964030635_00052		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JHV7
contig_1	cds	42601	43560	-	GCF_964030635_00053		hypothetical protein	
contig_1	cds	43740	45704	+	GCF_964030635_00054	uvrB	excinuclease ABC subunit UvrB	EC:3.1.25.-, GO:0003677, GO:0005515, GO:0005524, GO:0006289, GO:0009380, GO:0016787, GO:0016887, KEGG:K03702, SO:0001217, UniRef:UniRef50_A0A842UGY2, UniRef:UniRef90_A0A2P6FFK5
contig_1	cds	45744	46667	+	GCF_964030635_00055		HPr kinase/phosphorylase	SO:0001217, UniRef:UniRef50_Q14PU3
contig_1	cds	46689	47894	+	GCF_964030635_00056	lgt	prolipoprotein diacylglyceryl transferase	EC:2.5.1.145, GO:0008961, GO:0009249, GO:0016020, SO:0001217, UniRef:UniRef50_W0GMI9, UniRef:UniRef90_UPI0030D27322
contig_1	cds	47878	48819	+	GCF_964030635_00057		FAD-dependent oxidoreductase	EC:1.8.1.9, KEGG:K00384, SO:0001217, UniRef:UniRef50_R4UHX8, UniRef:UniRef90_UPI0030CC9833
contig_1	cds	48878	50164	+	GCF_964030635_00058	pgk	Phosphoglycerate kinase	EC:2.7.2.3, GO:0003779, GO:0004618, GO:0005524, GO:0005829, GO:0005884, GO:0006094, GO:0006096, GO:0043531, GO:0044409, KEGG:K00927, SO:0001217, UniRef:UniRef50_Q7WTU1, UniRef:UniRef90_Q7WTU1
contig_1	cds	50250	50432	-	GCF_964030635_00059		IS3 family transposase	GO:0004803, RefSeq:WP_338955504.1, SO:0001217, UniParc:UPI0030CA7892, UniRef:UniRef100_UPI0030CFC166, UniRef:UniRef50_UPI002481DC89, UniRef:UniRef90_UPI0030CFC166
contig_1	cds	50615	50833	-	GCF_964030635_00060		hypothetical protein	
contig_1	cds	50852	51268	-	GCF_964030635_00061		hypothetical protein	
contig_1	cds	51255	52070	-	GCF_964030635_00062		hypothetical protein	
contig_1	cds	52086	52370	-	GCF_964030635_00063		hypothetical protein	
contig_1	cds	52390	53340	-	GCF_964030635_00064		IS30 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_UPI0030D2B8B1, UniRef:UniRef90_UPI00313E6C49
contig_1	cds	53430	53522	-	GCF_964030635_00065		hypothetical protein	
contig_1	cds	53783	54046	-	GCF_964030635_00066		transposase family protein	SO:0001217, UniRef:UniRef50_A0A432ZV48, UniRef:UniRef90_UPI0030D2CBE0
contig_1	cds	54354	56693	+	GCF_964030635_00067		Adhesion related protein, transmembrane	SO:0001217, UniRef:UniRef50_A0A345DSM2
contig_1	cds	56926	57108	+	GCF_964030635_00068		hypothetical protein	PFAM:PF13384.12, PFAM:PF13518.12
contig_1	cds	57158	57733	+	GCF_964030635_00069		hypothetical protein	
contig_1	cds	57771	58415	+	GCF_964030635_00070		Integrase catalytic domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2S8NUI8
contig_1	cds	58674	59522	+	GCF_964030635_00071		hypothetical protein	PFAM:PF00665.32, PFAM:PF13276.12, PFAM:PF13683.12
contig_1	cds	60004	61047	+	GCF_964030635_00072	mreB	Cell shape-determining protein MreB	COG:COG1077, COG:DZ, SO:0001217, UniRef:UniRef50_S5LXM4, UniRef:UniRef90_A0A0K2JEW4
contig_1	cds	61102	62160	+	GCF_964030635_00073	mreB	Cell shape-determining protein MreB	COG:COG1077, COG:DZ, SO:0001217, UniRef:UniRef50_S5LXM4, UniRef:UniRef90_Q8VQG1
contig_1	cds	62237	63007	-	GCF_964030635_00074		putative deoxyribonuclease protein	EC:3.1.21.-, KEGG:K03424, SO:0001217, UniRef:UniRef50_Q14QJ7, UniRef:UniRef90_Q14QJ7
contig_1	cds	63017	64366	-	GCF_964030635_00075	mnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	GO:0003924, GO:0005525, GO:0006400, SO:0001217, UniRef:UniRef50_R4U7H3, UniRef:UniRef90_UPI0030CBFC0E
contig_1	cds	64667	65566	-	GCF_964030635_00076		IS30 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_UPI0030D2B8B1, UniRef:UniRef90_UPI00313E6C49
contig_1	cds	65742	66005	-	GCF_964030635_00077		Phosphocarrier protein HPr	SO:0001217, UniRef:UniRef50_A0A2P6FBG2, UniRef:UniRef90_A0A2P6FBG2
contig_1	cds	66235	66495	-	GCF_964030635_00078		Transposase	SO:0001217, UniRef:UniRef50_A0A432ZVT8
contig_1	cds	66612	67829	+	GCF_964030635_00079		hypothetical protein	PFAM:PF00665.32, PFAM:PF13276.12, PFAM:PF13384.12, PFAM:PF13518.12, PFAM:PF13683.12
contig_1	cds	67839	68219	-	GCF_964030635_00080		(pseudo) IS1 family transposase	SO:0001217, UniRef:UniRef50_UPI001C048822, UniRef:UniRef50_UPI00313CE38C, UniRef:UniRef90_UPI0030D609FB
contig_1	cds	68519	69115	-	GCF_964030635_00081		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_UPI0030CC6F38, UniRef:UniRef90_UPI0030D4CDF8
contig_1	cds	69376	69639	-	GCF_964030635_00082		transposase family protein	SO:0001217, UniRef:UniRef50_A0A432ZV48, UniRef:UniRef90_UPI0030D2CBE0
contig_1	cds	69815	70771	-	GCF_964030635_00083	tsaD	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	EC:2.3.1.234, GO:0002949, SO:0001217, UniRef:UniRef50_A6LKP0, UniRef:UniRef90_A0A0K2JG30
contig_1	cds	71351	71911	+	GCF_964030635_00084		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0SKZ0
contig_1	cds	71998	72345	-	GCF_964030635_00085		integrase core domain-containing protein	SO:0001217, UniRef:UniRef50_UPI0030D1AB8C, UniRef:UniRef90_UPI0030D1AB8C
contig_1	cds	72454	73353	+	GCF_964030635_00086		IS30 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_UPI0030D2B8B1, UniRef:UniRef90_UPI00313E6C49
contig_1	cds	73390	73986	-	GCF_964030635_00087		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_UPI0030CC6F38, UniRef:UniRef90_UPI0030D4CDF8
contig_1	cds	74247	74510	-	GCF_964030635_00088		transposase family protein	SO:0001217, UniRef:UniRef50_A0A432ZV48, UniRef:UniRef90_UPI0030D2CBE0
contig_1	cds	74556	74717	-	GCF_964030635_00089		hypothetical protein	
contig_1	cds	75071	75334	-	GCF_964030635_00090		transposase family protein	SO:0001217, UniRef:UniRef50_A0A432ZV48, UniRef:UniRef90_UPI0030D2CBE0
