#Annotated with Bakta v1.11.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	2823	3044	+	GCF_964030895_00003	8.6	9.6		RefSeq:WP_342276481.1, SO:0001217, UniParc:UPI00313EA0B1, UniRef:UniRef100_UPI00313EA0B1, UniRef:UniRef50_UPI00313EA0B1, UniRef:UniRef90_UPI00313EA0B1
contig_1	5670	5900	+	GCF_964030895_00008	8.5	4.9		RefSeq:WP_342276485.1, SO:0001217, UniParc:UPI00313BF5B5, UniRef:UniRef100_UPI00313BF5B5, UniRef:UniRef50_UPI0027E0C6EF, UniRef:UniRef90_UPI00313BF5B5
contig_1	5903	6169	+	GCF_964030895_00009	10.7	10.1		SO:0001217, UniRef:UniRef50_UPI0027DF8161, UniRef:UniRef90_UPI0027DF8161
contig_1	6588	6746	+	GCF_964030895_00011	6.0	5.3	PF02255.21|PTS_IIA	PFAM:PF02255.21
contig_1	6996	7580	+	GCF_964030895_00012	22.2	5.1		RefSeq:WP_342276488.1, SO:0001217, UniParc:UPI00313BA656, UniRef:UniRef100_UPI00313BA656, UniRef:UniRef50_UPI00313BA656, UniRef:UniRef90_UPI00313BA656
contig_1	7598	8137	+	GCF_964030895_00013	20.9	9.1		RefSeq:WP_342276489.1, SO:0001217, UniParc:UPI00313BF268, UniRef:UniRef100_UPI00313BF268, UniRef:UniRef50_UPI00313BF268, UniRef:UniRef90_UPI00313BF268
contig_1	14168	14689	+	GCF_964030895_00017	20.8	8.6		RefSeq:WP_342276493.1, SO:0001217, UniParc:UPI00313B4933, UniRef:UniRef100_UPI00313B4933, UniRef:UniRef50_R4UDV1, UniRef:UniRef90_UPI00313B4933
contig_1	18075	19031	+	GCF_964030895_00023	36.7	9.3	PF13177.12|DNA_pol3_delta2	PFAM:PF13177.12, RefSeq:WP_342276498.1, SO:0001217, UniParc:UPI00313D2ACF, UniRef:UniRef100_UPI00313D2ACF, UniRef:UniRef50_UPI0013CB51CD, UniRef:UniRef90_UPI0027E015E8
contig_1	30201	30386	+	GCF_964030895_00031	6.5	7.9		RefSeq:WP_342276506.1, SO:0001217, UniParc:UPI00313B6F41, UniRef:UniRef100_UPI00313B6F41, UniRef:UniRef50_UPI00313B6F41, UniRef:UniRef90_UPI00313B6F41
contig_1	35765	36148	+	GCF_964030895_00037	14.7	9.2		SO:0001217, UniRef:UniRef50_UPI00157A4179, UniRef:UniRef90_UPI0027DFB33C
contig_1	37925	38836	+	GCF_964030895_00040	36.7	8.9		RefSeq:WP_342276515.1, SO:0001217, UniParc:UPI00313F2D5E, UniRef:UniRef100_UPI00313F2D5E, UniRef:UniRef50_UPI00313F2D5E, UniRef:UniRef90_UPI00313F2D5E
contig_1	39645	40271	+	GCF_964030895_00042	24.6	9.5		RefSeq:WP_342276517.1, SO:0001217, UniParc:UPI00313E68B9, UniRef:UniRef100_UPI00313E68B9, UniRef:UniRef50_UPI00157B2433, UniRef:UniRef90_UPI00313E68B9
contig_1	40349	40606	+	GCF_964030895_00043	9.8	10.3		RefSeq:WP_342276518.1, SO:0001217, UniParc:UPI00313D8B26, UniRef:UniRef100_UPI00313D8B26, UniRef:UniRef50_UPI00157AE958, UniRef:UniRef90_UPI00313D8B26
contig_1	40613	40933	+	GCF_964030895_00044	12.1	10.1		RefSeq:WP_342276519.1, SO:0001217, UniParc:UPI00313C48DA, UniRef:UniRef100_UPI00313C48DA, UniRef:UniRef50_UPI0027DF085C, UniRef:UniRef90_UPI0027DF085C
contig_1	40951	41637	+	GCF_964030895_00045	25.2	6.3	PF05215.18|Spiralin	PFAM:PF05215.18, RefSeq:WP_342276520.1, SO:0001217, UniParc:UPI00313E30D0, UniRef:UniRef100_UPI00313E30D0, UniRef:UniRef50_UPI0027DFBB24, UniRef:UniRef90_UPI00313E30D0
contig_1	41732	42337	+	GCF_964030895_00046	22.2	6.3		RefSeq:WP_342276521.1, SO:0001217, UniParc:UPI00313E5AFE, UniRef:UniRef100_UPI00313E5AFE, UniRef:UniRef50_UPI0027E20109, UniRef:UniRef90_UPI00313E5AFE
contig_1	42569	43318	+	GCF_964030895_00047	28.5	9.3		SO:0001217, UniRef:UniRef50_UPI0027DFAE0C, UniRef:UniRef90_UPI00313EE957
contig_1	43800	44075	+	GCF_964030895_00048	10.2	4.3		SO:0001217, UniRef:UniRef50_UPI00313C1217, UniRef:UniRef90_UPI00313C1217
contig_1	44511	45002	+	GCF_964030895_00050	18.9	4.8		
contig_1	45262	45354	+	GCF_964030895_00051	3.5	9.9		
contig_1	45488	45742	+	GCF_964030895_00052	9.5	5.8		RefSeq:WP_342276526.1, SO:0001217, UniParc:UPI00313D9921, UniRef:UniRef100_UPI00313D9921, UniRef:UniRef50_UPI00313D9921, UniRef:UniRef90_UPI00313D9921
contig_1	47051	47473	+	GCF_964030895_00054	16.1	9.8		RefSeq:WP_342276529.1, SO:0001217, UniParc:UPI00313A85FF, UniRef:UniRef100_UPI00313A85FF, UniRef:UniRef50_UPI0027DF20EE, UniRef:UniRef90_UPI0027DF20EE
