# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	3	1340	+	GCF_964020035_0001	852.0	0.0	1.0	0.998	1.0	UniRef:UniRef90_UPI0030CECED1
contig_1	cds	1415	2536	+	GCF_964020035_0002	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D3A4FD
contig_1	cds	2598	4526	+	GCF_964020035_0003	1244.0	0.0	0.989	1.0	1.0	UniRef:UniRef90_UPI0030CBB18B
contig_1	cds	4536	7100	+	GCF_964020035_0004	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CECBA3
contig_1	cds	7110	8372	+	GCF_964020035_0005	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CD8F54
contig_1	ncRNA	8407	8495	+	GCF_964020035_0006	59.9	1.5e-07	-	-	-	RFAM:RF00169
contig_1	cds	8509	8922	+	GCF_964020035_0007	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D059AD
contig_1	cds	8944	11043	+	GCF_964020035_0008	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D1C1DC
contig_1	cds	11045	11605	+	GCF_964020035_0009	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D30243
contig_1	cds	11615	12232	+	GCF_964020035_0010	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D202EF
contig_1	cds	12234	12929	+	GCF_964020035_0011	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D2619A
contig_1	cds	12929	13651	+	GCF_964020035_0012	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CDF791
contig_1	cds	13652	14521	+	GCF_964020035_0013	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CEE1AD
contig_1	cds	14558	16492	+	GCF_964020035_0014	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CEBC4D
contig_1	cds	16533	17378	+	GCF_964020035_0015	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D5FB75
contig_1	cds	17425	18408	+	GCF_964020035_0016	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CE076E
contig_1	cds	18488	19984	+	GCF_964020035_0017	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CE4EC7
contig_1	cds	19987	20988	+	GCF_964020035_0018	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D1FE53
contig_1	cds	21071	21598	+	GCF_964020035_0019	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D60972
contig_1	cds	21611	22030	+	GCF_964020035_0020	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CC96BD
contig_1	cds	22034	22255	+	GCF_964020035_0021	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CBDDDD
contig_1	cds	22319	22762	+	GCF_964020035_0022	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D5D7A1
contig_1	cds	22764	24086	+	GCF_964020035_0023	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D35DD8
contig_1	cds	24121	25146	+	GCF_964020035_0024	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CFB64C
contig_1	cds	25127	25783	+	GCF_964020035_0025	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D1A678
contig_1	cds	25819	26724	+	GCF_964020035_0026	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D2939D
contig_1	cds	26726	28030	+	GCF_964020035_0027	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D16F80
contig_1	cds	28030	28746	+	GCF_964020035_0028	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CCFBE0
contig_1	cds	28721	29332	+	GCF_964020035_0029	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D49423
contig_1	cds	29562	29918	+	GCF_964020035_0030	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D5CFA5
contig_1	cds	29926	30552	+	GCF_964020035_0031	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CC43B7
contig_1	cds	30652	31083	+	GCF_964020035_0032	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CF10D6
contig_1	cds	31083	31769	+	GCF_964020035_0033	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D33176
contig_1	cds	31950	32708	+	GCF_964020035_0034	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CFEC4F
contig_1	cds	32713	33873	+	GCF_964020035_0035	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CBE4B1
contig_1	cds	33886	35394	+	GCF_964020035_0036	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D5FA9B
contig_1	cds	35590	36087	+	GCF_964020035_0037	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D16068
contig_1	cds	36113	36484	+	GCF_964020035_0038	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CA90C6
contig_1	cds	36552	40385	+	GCF_964020035_0039	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CD3AB1
contig_1	cds	40390	44151	+	GCF_964020035_0040	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D17FB8
contig_1	cds	44216	44800	+	GCF_964020035_0041	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D4516F
contig_1	cds	44790	45362	+	GCF_964020035_0042	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D3F3C1
contig_1	cds	45365	45790	+	GCF_964020035_0043	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CF0B35
contig_1	cds	45801	46427	+	GCF_964020035_0044	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D334D2
contig_1	cds	46474	46869	+	GCF_964020035_0045	-	-	-	-	-	-
contig_1	cds	46863	47720	+	GCF_964020035_0046	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D1C5B6
contig_1	cds	47732	48049	+	GCF_964020035_0047	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D0F316
contig_1	cds	48059	48601	+	GCF_964020035_0048	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CAEE04
contig_1	cds	48601	49143	+	GCF_964020035_0049	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D03ED1
contig_1	cds	49153	50730	+	GCF_964020035_0050	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D1E2A0
contig_1	cds	50730	51572	+	GCF_964020035_0051	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CE90D5
contig_1	cds	51585	53003	+	GCF_964020035_0052	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CEC49A
contig_1	cds	52996	53280	+	GCF_964020035_0053	187.0	3.6e-60	1.0	0.913	1.0	UniRef:UniRef90_UPI0030D0BC90
contig_1	cds	53296	54213	-	GCF_964020035_0054	592.0	3.4e-213	1.0	0.953	1.0	UniRef:UniRef90_UPI0030D0241E
contig_1	cds	54524	55417	+	GCF_964020035_0055	597.0	2.0e-215	1.0	0.949	1.0	UniRef:UniRef90_UPI0030D60AE3
contig_1	cds	55452	58262	+	GCF_964020035_0056	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CCEE32
contig_1	cds	58347	60308	+	GCF_964020035_0057	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CA91BE
contig_1	cds	60298	63132	+	GCF_964020035_0058	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D48C2D
contig_1	cds	63125	64228	+	GCF_964020035_0059	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CF3936
contig_1	cds	64251	65168	+	GCF_964020035_0060	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D4E56D
contig_1	cds	65188	66381	+	GCF_964020035_0061	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CD9828
contig_1	cds	66392	67315	+	GCF_964020035_0062	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D4EC92
contig_1	cds	67317	68525	+	GCF_964020035_0063	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D4722B
contig_1	cds	68540	69463	+	GCF_964020035_0064	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D42776
contig_1	cds	69468	69683	+	GCF_964020035_0065	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CF7707
contig_1	cds	69676	70071	-	GCF_964020035_0066	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CC92A3
contig_1	cds	70142	70438	+	GCF_964020035_0067	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D0948E
contig_1	cds	70443	72542	+	GCF_964020035_0068	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030CFC5FB
contig_1	cds	72561	73007	+	GCF_964020035_0069	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D23418
contig_1	cds	73009	73284	+	GCF_964020035_0070	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0030D176C5
contig_1	ncRNA-region	73480	73543	+	-	66.5	7.0e-10	-	-	-	RFAM:RF01510
