# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	47	547	-	GCA_005795965_0001	-	-	-	-	-	-
contig_1	cds	758	1024	-	GCA_005795965_0002	156.0	4.2e-48	1.011	1.0	0.978	UniRef:UniRef90_UPI00157B2140
contig_1	cds	1192	1905	-	GCA_005795965_0003	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001220407C
contig_1	cds	1948	2253	-	GCA_005795965_0004	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0012268350
contig_1	cds	2246	2536	-	GCA_005795965_0005	180.0	1.8e-57	1.0	1.0	0.969	UniRef:UniRef90_UPI00313B7447
contig_1	cds	2654	2818	-	GCA_005795965_0006	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00157AC9A1
contig_1	cds	2880	3020	-	GCA_005795965_0007	100.0	5.3e-27	1.0	0.836	0.978	UniRef:UniRef90_UPI001E6361A9
contig_1	cds	3129	3815	-	GCA_005795965_0008	258.0	3.0e-84	0.860	0.947	0.668	UniRef:UniRef90_A0A2P6FE36
contig_1	cds	3914	4240	-	GCA_005795965_0009	-	-	-	-	-	-
contig_2	cds	1	174	+	GCA_005795965_0010	-	-	-	-	-	-
contig_2	cds	174	494	+	GCA_005795965_0011	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001224C906
contig_2	cds	516	629	+	GCA_005795965_0012	63.9	5.5e-13	1.0	1.0	0.838	UniRef:UniRef90_A0A846U9Y0
contig_2	cds	654	1052	+	GCA_005795965_0013	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00121DABDD
contig_2	cds	1070	1462	+	GCA_005795965_0014	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00121B365F
contig_2	cds	1481	2449	+	GCA_005795965_0015	604.0	9.7e-218	1.0	1.0	0.997	UniRef:UniRef90_UPI00157B67B5
contig_3	cds	120	656	+	GCA_005795965_0016	-	-	-	-	-	-
contig_3	cds	659	2353	+	GCA_005795965_0017	1077.0	0.0	0.984	0.962	0.989	UniRef:UniRef90_UPI0013CD81A2
