#Annotated with Bakta v1.11.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	50	445	+	GCA_019325155_00001	14.7	7.7		
contig_1	565	1020	+	GCA_019325155_00002	17.4	5.5		SO:0001217, UniRef:UniRef50_UPI0037DC01BB, UniRef:UniRef90_UPI0037DC01BB
contig_1	1042	1326	+	GCA_019325155_00003	10.6	9.7		
contig_1	3505	3834	+	GCA_019325155_00007	12.6	10.3		SO:0001217, UniRef:UniRef50_UPI001F4D208F, UniRef:UniRef90_UPI00313A79C1
contig_1	7557	8231	+	GCA_019325155_00010	26.7	9.4		RefSeq:WP_127092273.1, SO:0001217, UniParc:UPI000F8C521A, UniRef:UniRef100_A0A3S0UA66, UniRef:UniRef50_A0A3S0T6U3, UniRef:UniRef90_A0A3S0UA66
contig_1	8856	9449	+	GCA_019325155_00011	23.6	9.1		RefSeq:WP_127092274.1, SO:0001217, UniParc:UPI000F8E135E, UniRef:UniRef100_A0A3S0U7E2, UniRef:UniRef50_A0A433ENJ9, UniRef:UniRef90_A0A3S0U7E2
contig_1	9513	10724	-	GCA_019325155_00012	46.4	9.3	PF00161.24|RIP	PFAM:PF00161.24, RefSeq:WP_158676089.1, SO:0001217, UniParc:UPI00131A455F, UniRef:UniRef100_A0A433EMQ2, UniRef:UniRef50_A0A3S0TS65, UniRef:UniRef90_A0A433EMQ2
contig_1	10751	13195	-	GCA_019325155_00013	91.3	5.8	PF01011.27|PQQ, PF01344.31|Kelch_1, PF13360.12|PQQ_2, PF13570.12|PQQ_3	PFAM:PF01011.27, PFAM:PF01344.31, PFAM:PF13360.12, PFAM:PF13570.12, RefSeq:WP_127092276.1, SO:0001217, UniParc:UPI000F8C6A2A, UniRef:UniRef100_A0A433EMR4, UniRef:UniRef50_A0A433EMR4, UniRef:UniRef90_A0A433EMR4
contig_1	13934	14209	+	GCA_019325155_00014	10.9	8.6		RefSeq:WP_127092277.1, SO:0001217, UniParc:UPI000F8CB63D, UniRef:UniRef100_A0A433EMR6, UniRef:UniRef50_A0A433EMR6, UniRef:UniRef90_A0A433EMR6
contig_1	16014	16337	-	GCA_019325155_00017	13.2	9.8		RefSeq:WP_127092266.1, SO:0001217, UniParc:UPI000F8EB65D, UniRef:UniRef100_A0A3S0ULN3, UniRef:UniRef50_A0A3S0ULN3, UniRef:UniRef90_A0A3S0ULN3
contig_1	16682	18454	+	GCA_019325155_00018	66.6	8.9		RefSeq:WP_127092267.1, SO:0001217, UniParc:UPI000F8E5011, UniRef:UniRef100_A0A433EMU9, UniRef:UniRef50_A0A433EMU9, UniRef:UniRef90_A0A433EMU9
