# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	44	259	+	CR182_00001	-	-	-	-	-	-
contig_1	cds	286	714	+	CR182_00002	-	-	-	-	-	-
contig_1	cds	855	944	-	CR182_00003	-	-	-	-	-	-
contig_1	cds	1138	1284	-	CR182_00004	-	-	-	-	-	-
contig_1	cds	1709	2017	-	CR182_00005	-	-	-	-	-	-
contig_1	cds	2358	2570	-	CR182_00006	-	-	-	-	-	-
contig_1	cds	2841	2960	-	CR182_00007	-	-	-	-	-	-
contig_1	cds	3061	3195	+	CR182_00008	-	-	-	-	-	-
contig_1	cds	3185	3355	+	CR182_00009	-	-	-	-	-	-
contig_1	cds	3385	3552	+	CR182_00010	-	-	-	-	-	-
contig_1	cds	3633	3791	+	CR182_00011	-	-	-	-	-	-
contig_1	cds	3749	4123	+	CR182_00012	-	-	-	-	-	-
contig_1	cds	4901	5035	+	CR182_00013	-	-	-	-	-	-
contig_1	cds	5367	5624	-	CR182_00014	-	-	-	-	-	-
contig_1	cds	5703	5843	-	CR182_00015	-	-	-	-	-	-
contig_1	cds	5847	6140	-	CR182_00016	-	-	-	-	-	-
contig_1	cds	6159	6404	-	CR182_00017	116.0	1.5e-32	1.0	0.942	0.753	UniRef:UniRef90_UPI00313B4C5C
contig_1	cds	6377	6640	-	CR182_00018	140.0	8.1e-42	1.023	0.957	0.775	UniRef:UniRef90_UPI0030CE0D6D
contig_1	cds	6658	7233	-	CR182_00019	348.0	9.6e-121	1.0	1.0	0.942	UniRef:UniRef90_A0A0K2JH99
contig_1	cds	7258	7797	-	CR182_00020	316.0	4.3e-108	0.978	0.854	0.891	UniRef:UniRef90_A0A3S0SU02
contig_1	cds	7898	8485	+	CR182_00021	348.0	6.7e-121	0.959	0.954	0.909	UniRef:UniRef90_A0A3S0RDE4
contig_1	cds	8580	9131	+	CR182_00022	299.0	1.3e-101	0.902	0.892	0.897	UniRef:UniRef90_A0A432ZVL7
contig_1	cds	9330	11090	+	CR182_00023	1087.0	0.0	1.002	1.0	0.947	UniRef:UniRef90_A0A2P6FBM6
contig_1	cds	11268	11555	+	CR182_00024	147.0	3.2e-44	0.884	0.875	0.869	UniRef:UniRef90_UPI001F4EA58D
contig_1	cds	11689	12096	+	CR182_00025	-	-	-	-	-	-
contig_1	cds	12059	12304	+	CR182_00026	-	-	-	-	-	-
contig_1	cds	13125	13304	+	CR182_00027	-	-	-	-	-	-
contig_1	cds	13342	13794	+	CR182_00028	233.0	1.3e-76	1.0	0.915	0.807	UniRef:UniRef90_UPI00313EF326
contig_1	cds	14613	14843	+	CR182_00029	-	-	-	-	-	-
contig_1	cds	14967	15641	+	CR182_00030	335.0	8.3e-114	0.987	0.822	0.715	UniRef:UniRef90_A0AAI9T355
contig_1	cds	15603	16082	-	CR182_00031	-	-	-	-	-	-
contig_1	cds	16426	17079	+	CR182_00032	339.0	7.6e-117	0.857	0.944	0.919	UniRef:UniRef90_UPI001F542C6D
contig_1	cds	17517	17645	-	CR182_00033	-	-	-	-	-	-
contig_1	cds	17844	18239	-	CR182_00034	-	-	-	-	-	-
contig_1	cds	18552	19409	+	CR182_00035	457.0	6.0e-161	0.951	0.925	0.871	UniRef:UniRef90_A0A0K2JH38
contig_1	cds	19418	20161	-	CR182_00036	447.0	2.3e-158	1.0	1.0	0.895	UniRef:UniRef90_A0A0K2JH37
contig_1	cds	20161	20823	-	CR182_00037	408.0	1.0e-143	1.0	1.0	0.927	UniRef:UniRef90_Q14P58
contig_1	cds	20793	22172	-	CR182_00038	775.0	3.6e-281	0.967	0.998	0.930	UniRef:UniRef90_UPI0030CBD3DE
contig_1	cds	22178	24058	-	CR182_00039	1174.0	0.0	1.0	0.991	0.962	UniRef:UniRef90_A0A345DMX0
contig_1	cds	24077	25444	-	CR182_00040	875.0	0.0	1.004	1.0	0.930	UniRef:UniRef90_A0A0K2JH41
contig_1	cds	25488	25775	-	CR182_00041	186.0	1.6e-59	1.0	0.826	0.968	UniRef:UniRef90_A0A0K2JH40
contig_1	cds	25896	26234	-	CR182_00042	-	-	-	-	-	-
contig_1	cds	26236	27129	-	CR182_00043	523.0	1.6e-186	1.0	0.990	0.909	UniRef:UniRef90_A0AAI9T2C9
contig_1	cds	27189	31550	-	CR182_00044	2727.0	0.0	1.001	1.0	0.939	UniRef:UniRef90_A0A0K2JHL4
contig_1	cds	31575	32921	-	CR182_00045	835.0	1.1e-304	1.0	0.991	0.955	UniRef:UniRef90_A0A345DMX5
contig_1	cds	32960	34108	-	CR182_00046	727.0	2.5e-264	1.0	1.0	0.969	UniRef:UniRef90_A0A0K2JH44
contig_1	cds	34112	35203	-	CR182_00047	688.0	1.5e-249	1.003	1.0	0.964	UniRef:UniRef90_A0A0K2JH43
contig_1	cds	35181	35888	-	CR182_00048	441.0	2.5e-156	1.0	1.0	0.928	UniRef:UniRef90_A0A0K2JI60
contig_1	cds	35950	36498	-	CR182_00049	333.0	3.0e-115	1.0	1.0	0.967	UniRef:UniRef90_Q14P69
