Group_ID	CR182.faa	GCA_002135175.faa	GCA_005795965.faa	GCA_017847635.faa	GCA_017847655.faa	GCA_017847675.faa	GCA_019295385.faa	GCA_019325155.faa	GCA_022712415.faa	GCA_022712555.faa	GCA_026239475.faa	GCA_026239495.faa	GCA_027564955.faa	GCA_028622045.faa	GCA_031119525.faa	GCA_039206795.faa	GCA_048590285.faa	GCA_964019725.faa	GCA_964019825.faa	GCA_964030995.faa	GCA_964031075.faa	GCA_964263215.faa	GCA_964273395.faa	GCA_964273555.faa	GCA_965226525.faa	GCF_000236085.faa	GCF_000328865.faa	GCF_000400935.faa	GCF_000400955.faa	GCF_000439435.faa	GCF_000439455.faa	GCF_000500935.faa	GCF_000517365.faa	GCF_000565175.faa	GCF_000565195.faa	GCF_000565215.faa	GCF_000820525.faa	GCF_001029245.faa	GCF_001029265.faa	GCF_001262715.faa	GCF_001267155.faa	GCF_001274875.faa	GCF_001281045.faa	GCF_001513715.faa	GCF_001715535.faa	GCF_001792795.faa	GCF_001886495.faa	GCF_001886855.faa	GCF_002028345.faa	GCF_002163565.faa	GCF_002237575.faa	GCF_002795265.faa	GCF_002813555.faa	GCF_002865545.faa	GCF_002868295.faa	GCF_002968355.faa	GCF_003124105.faa	GCF_003124115.faa	GCF_003339775.faa	GCF_003363775.faa	GCF_003987485.faa	GCF_003989055.faa	GCF_004379335.faa	GCF_005222125.faa	GCF_007993715.faa	GCF_008086545.faa	GCF_009730595.faa	GCF_009866525.faa	GCF_010365785.faa	GCF_010365805.faa	GCF_010587055.faa	GCF_010587105.faa	GCF_010587175.faa	GCF_010587255.faa	GCF_010587305.faa	GCF_012163225.faa	GCF_013113755.faa	GCF_016082235.faa	GCF_016082285.faa	GCF_018831625.faa	GCF_021496725.faa	GCF_022569815.faa	GCF_023509825.faa	GCF_023566085.faa	GCF_023566095.faa	GCF_023846195.faa	GCF_027923845.faa	GCF_029607405.faa	GCF_029607425.faa	GCF_029607445.faa	GCF_030060925.faa	GCF_030316605.faa	GCF_030913225.faa	GCF_040369795.faa	GCF_040372085.faa	GCF_040940205.faa	GCF_042465095.faa	GCF_044714355.faa	GCF_044714365.faa	GCF_049669535.faa	GCF_049949145.faa	GCF_049949155.faa	GCF_902809815.faa	GCF_918697755.faa	GCF_964019485.faa	GCF_964019495.faa	GCF_964019505.faa	GCF_964019525.faa	GCF_964019535.faa	GCF_964019575.faa	GCF_964019595.faa	GCF_964019625.faa	GCF_964019665.faa	GCF_964019705.faa	GCF_964019715.faa	GCF_964019735.faa	GCF_964019755.faa	GCF_964019765.faa	GCF_964019845.faa	GCF_964019925.faa	GCF_964019975.faa	GCF_964020005.faa	GCF_964020035.faa	GCF_964020065.faa	GCF_964020095.faa	GCF_964020195.faa	GCF_964020205.faa	GCF_964020225.faa	GCF_964020235.faa	GCF_964020965.faa	GCF_964030635.faa	GCF_964030645.faa	GCF_964030655.faa	GCF_964030685.faa	GCF_964030795.faa	GCF_964030805.faa	GCF_964030825.faa	GCF_964030835.faa	GCF_964030855.faa	GCF_964030865.faa	GCF_964030895.faa	GCF_964030925.faa	GCF_964030965.faa	GCF_964030985.faa	GCF_964031045.faa	GCF_964031085.faa	GCF_964031115.faa	GCF_964031135.faa	GCF_964031155.faa	GCF_964031175.faa	GCF_964031195.faa	GCF_964031205.faa	GCF_964031275.faa	GCF_964035735.faa	GCF_964263245.faa	GCF_964264745.faa	GCF_964264785.faa	GCF_964273375.faa	GCF_964277355.faa	GCF_965178695.faa	total
1	143	0	0	0	0	2	90	187	0	1	302	303	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	87	0	0	0	229	0	0	0	0	0	91	0	0	0	0	0	0	0	0	2	5	8	0	0	37	0	0	0	0	2	0	0	0	0	2	0	155	0	0	0	2	1	0	0	0	1	0	3	28	0	93	34	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	45	0	0	0	4	202	3	0	0	0	1	92	16	131	0	98	59	3	0	83	0	0	75	0	0	0	55	0	1	0	3020
2	80	0	0	1	1	1	26	20	1	1	60	61	0	2	0	0	2	7	7	2	5	0	5	8	0	1	0	14	5	0	0	8	0	0	0	0	45	0	0	8	42	1	0	8	12	0	0	6	0	13	7	10	11	0	3	7	42	46	5	6	2	17	11	1	6	7	20	42	0	0	6	6	6	7	8	0	6	3	1	85	0	6	0	0	0	23	114	9	4	9	3	74	0	50	1	2	0	2	2	55	55	44	10	11	112	34	0	0	27	1	1	1	1	80	60	0	14	0	1	12	77	37	0	0	77	0	79	1	77	12	85	0	167	0	1	35	2	0	30	4	10	41	1	35	7	4	19	93	0	77	50	26	5	0	39	0	0	83	0	1	2817
3	12	0	0	0	0	0	6	16	0	0	20	21	0	0	0	0	3	25	70	0	0	0	0	0	0	9	1	2	0	0	0	0	3	0	2	0	15	3	0	0	0	40	0	0	0	0	0	35	0	1	0	0	0	0	13	28	10	12	37	0	9	13	0	15	38	0	0	10	0	0	34	36	33	39	39	0	32	3	3	0	0	1	1	1	1	1	43	32	37	34	2	0	1	0	5	0	0	3	3	26	25	25	0	12	0	1	0	0	0	17	43	0	0	0	78	4	15	0	0	0	0	0	0	75	0	26	30	0	54	15	86	0	15	0	131	120	0	69	0	0	0	1	101	0	0	42	0	53	0	7	0	11	0	0	45	1	43	1	114	37	2176
4	5	0	0	5	6	3	7	27	0	0	29	29	0	11	5	5	8	14	25	0	1	1	1	53	0	2	1	2	1	4	0	0	0	0	0	0	32	1	0	0	0	12	0	0	0	0	0	17	0	0	1	0	2	0	1	8	26	27	15	0	4	15	0	2	16	0	0	25	0	0	23	20	17	29	29	2	15	4	5	52	2	5	3	4	5	4	24	21	22	19	5	47	3	8	5	2	0	6	10	11	11	10	22	12	60	27	0	4	20	17	11	0	0	17	21	23	8	0	2	0	16	3	0	17	61	26	18	37	47	24	7	0	7	14	30	19	17	23	2	0	24	42	43	5	0	19	34	17	25	12	34	9	10	30	6	18	27	16	6	15	1876
5	10	0	2	2	3	1	13	28	1	0	35	35	0	4	1	1	13	41	55	34	4	28	10	3	0	9	5	5	4	13	2	12	3	5	3	34	44	3	13	10	11	18	23	10	5	14	14	18	13	38	8	33	35	1	9	18	21	30	27	58	22	20	6	11	23	10	3	21	1	3	21	25	19	27	31	0	16	5	10	1	0	10	0	0	0	2	3	23	19	22	17	16	4	0	21	14	11	22	13	16	15	12	4	12	1	2	1	1	2	1	24	2	28	2	0	2	13	31	3	20	4	24	2	0	1	2	1	2	57	28	27	0	10	0	3	1	2	2	11	22	9	1	1	0	0	0	0	1	2	1	1	10	2	6	10	6	0	1	2	35	1844
6	14	0	0	3	3	5	5	25	0	0	40	40	0	14	0	0	3	32	56	0	0	0	0	67	0	0	0	0	0	0	0	0	2	0	2	0	12	2	0	0	0	9	0	0	0	0	0	5	0	0	0	0	0	0	0	5	12	12	12	0	9	11	0	0	11	0	0	12	0	0	10	13	4	11	15	0	5	3	1	9	0	4	0	2	0	0	21	7	6	7	3	32	0	5	0	0	0	6	7	0	0	0	17	10	0	34	0	0	41	39	8	0	0	21	0	29	4	0	0	0	23	0	0	12	43	40	20	54	59	20	2	0	10	0	54	2	24	0	0	0	8	40	35	5	0	2	20	14	2	5	61	0	10	2	10	19	0	15	5	9	1422
7	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	112	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	107	0	60	33	0	0	0	0	0	0	0	39	0	1	0	0	0	0	77	0	0	102	122	0	112	0	0	0	0	0	0	0	0	46	0	0	0	0	2	0	141	0	0	0	106	64	0	41	39	0	84	0	0	3	0	27	0	0	1420
8	8	0	0	2	3	1	6	27	0	1	29	29	0	14	0	0	7	21	56	0	0	0	0	56	0	1	0	0	0	0	0	0	3	0	3	0	33	3	1	0	0	5	0	0	0	0	0	7	1	0	0	0	0	0	1	13	20	28	14	0	18	10	0	1	12	0	0	19	0	0	11	13	7	13	15	2	7	4	4	4	2	6	1	4	2	0	22	7	7	7	3	23	1	0	4	1	0	6	12	12	11	9	18	9	0	26	0	0	15	17	21	0	0	12	0	21	9	0	0	0	8	0	0	8	34	23	10	35	68	26	22	0	8	0	31	8	17	0	0	0	22	41	37	4	0	1	9	9	1	9	24	5	7	1	6	30	0	13	6	26	1370
9	2	0	0	2	3	4	5	4	0	0	14	16	0	0	0	0	3	13	12	0	0	0	0	12	0	17	1	0	0	0	0	0	0	0	0	0	12	0	0	0	0	26	0	0	0	0	0	27	0	0	0	0	0	0	5	22	9	9	37	0	4	4	0	20	27	0	0	9	0	0	27	28	24	27	26	0	27	4	1	43	0	4	0	0	0	0	6	34	33	36	2	12	0	3	3	0	0	1	4	22	22	22	9	11	65	0	0	24	5	20	35	2	0	3	37	7	0	0	0	0	3	0	0	7	3	6	5	16	6	28	2	0	2	19	5	0	1	25	0	0	9	13	6	11	0	28	49	1	35	0	5	11	5	40	4	0	22	3	6	33	1357
10	15	0	0	0	0	0	25	13	0	0	1	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	2	0	0	0	0	0	0	0	0	11	0	11	0	0	0	0	38	39	0	0	0	13	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	3	0	47	0	5	0	0	0	0	84	0	0	0	0	42	0	37	2	0	0	0	0	41	41	38	0	0	64	8	0	0	25	0	0	0	3	12	36	0	2	0	0	1	29	2	0	0	39	0	85	0	0	0	19	0	30	0	1	35	1	0	17	0	0	0	0	33	0	1	11	14	0	29	46	31	5	0	8	2	0	32	1	0	1213
11	2	0	0	0	0	0	8	10	0	0	9	10	0	0	0	0	1	18	14	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	17	0	0	0	0	29	0	0	0	0	0	35	0	0	0	0	0	0	8	31	12	11	39	0	4	7	0	18	30	0	0	11	0	0	31	32	31	32	34	0	28	5	0	33	0	6	0	0	0	0	0	40	41	36	3	0	0	0	7	0	0	2	2	31	31	31	0	3	18	0	0	21	0	0	51	0	0	0	30	0	1	0	0	0	0	0	0	0	1	0	0	0	13	38	4	0	3	2	0	0	0	16	0	0	0	0	1	0	0	22	31	0	33	0	0	5	0	39	5	0	20	0	0	45	1195
12	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	122	0	0	0	0	269	1	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	266	0	0	0	0	0	0	0	0	132	0	0	0	0	13	0	0	65	0	0	0	4	0	0	0	0	2	0	0	203	0	0	0	0	1133
13	4	0	0	0	0	0	3	4	0	0	11	12	0	1	2	2	1	12	11	0	0	0	0	0	0	14	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	23	0	0	0	0	0	30	0	0	0	0	0	0	4	22	7	7	34	0	4	3	0	18	27	0	0	8	0	0	28	28	28	30	33	1	25	3	1	46	1	3	1	2	1	0	0	34	35	36	2	0	1	0	2	1	0	1	2	16	16	17	0	4	38	0	0	8	0	0	29	0	0	0	23	0	0	0	0	0	0	0	0	0	3	0	0	0	4	24	0	0	3	14	1	0	0	27	0	0	0	2	1	0	0	33	64	1	33	1	0	5	0	37	2	2	16	0	0	27	1068
14	9	0	0	19	16	15	6	13	0	0	22	22	0	6	0	0	3	28	32	0	0	0	0	48	0	0	0	0	0	2	0	1	3	2	3	0	9	3	1	0	0	1	0	0	0	1	1	4	1	0	1	0	0	0	0	0	9	11	8	0	20	7	0	0	5	0	0	9	0	0	8	8	4	8	10	0	3	4	2	9	0	8	0	2	1	3	23	7	8	7	3	38	0	1	4	1	0	3	5	0	0	0	9	3	0	15	0	0	16	22	9	1	0	8	0	17	5	0	1	0	12	3	0	14	24	21	9	34	52	19	0	0	2	0	37	4	13	0	0	0	6	29	36	1	1	2	16	8	1	4	29	0	3	1	8	10	0	6	5	9	1036
15	6	0	0	0	0	0	7	9	0	0	15	16	0	0	0	0	2	17	21	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	26	0	0	0	0	0	31	0	0	0	0	0	0	4	19	17	17	27	0	5	8	0	18	27	0	0	18	0	0	28	27	28	28	29	0	25	4	1	27	0	7	0	0	0	0	0	32	31	31	2	0	0	0	3	0	0	4	3	15	15	15	0	5	26	0	0	4	0	0	31	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	11	25	1	0	2	11	0	0	0	9	0	0	0	0	0	0	0	11	39	0	10	0	0	5	0	15	3	0	6	0	0	29	950
16	15	0	0	3	7	7	5	18	0	1	22	21	0	6	0	0	14	46	58	0	0	0	0	17	0	1	0	0	0	0	0	0	1	0	1	0	34	1	0	0	0	9	0	0	0	0	0	5	0	0	0	0	0	0	3	6	14	24	10	0	17	13	0	2	9	0	0	17	0	0	3	6	3	5	3	0	5	1	4	0	0	4	0	0	0	3	16	6	4	6	0	9	5	3	6	0	0	10	15	8	7	5	21	14	0	8	0	0	2	0	28	0	0	8	0	5	8	0	0	0	0	0	0	1	17	4	4	5	15	26	34	0	8	0	1	12	5	0	0	0	22	23	19	5	0	0	0	8	0	5	0	2	2	0	3	35	0	10	3	33	940
