# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	2	1228	+	GCA_026239495_00001		(5' truncated) BMP family ABC transporter substrate-binding protein	KEGG:K07335, SO:0001217, UniRef:UniRef50_W0GK32, UniRef:UniRef90_A0A432ZVK5
contig_1	cds	1297	1557	+	GCA_026239495_00002		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_R4UID0, UniRef:UniRef90_A0A0K2JH97
contig_1	cds	1641	3323	+	GCA_026239495_00003		Transmembrane protein	SO:0001217, UniRef:UniRef50_R4UKY1
contig_1	cds	3726	4070	-	GCA_026239495_00004		DDE Tnp4 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A433EM05
contig_1	cds	4098	4550	-	GCA_026239495_00005		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0SKZ0
contig_1	cds	4917	5294	+	GCA_026239495_00006	hpf	ribosome hibernation-promoting factor, HPF/YfiA family	GO:0005840, GO:0045182, SO:0001217, UniRef:UniRef50_A0A1J0U0W0, UniRef:UniRef90_A0AAJ4EJ76
contig_1	cds	5519	5728	-	GCA_026239495_00007		DDE Tnp4 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0U8T3
contig_1	cds	5893	6345	-	GCA_026239495_00008		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0SKZ0
contig_1	cds	6422	6862	-	GCA_026239495_00009		Lipoprotein	SO:0001217, UniRef:UniRef50_W0GKW6
contig_1	cds	6929	7348	-	GCA_026239495_00010		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JHT9, UniRef:UniRef90_A0A0K2JHT9
contig_1	cds	7427	7978	+	GCA_026239495_00011		DJ-1 family glyoxalase III	SO:0001217, UniRef:UniRef50_W0GL58, UniRef:UniRef90_Q14ME4
contig_1	cds	8421	10016	+	GCA_026239495_00012		MOLPALP family lipoprotein	SO:0001217, UniRef:UniRef50_A0A1J0U0W9, UniRef:UniRef90_A0A3S0RD21
contig_1	cds	10339	11298	-	GCA_026239495_00013		IS1595 family transposase	SO:0001217, UniRef:UniRef50_A0A2S8NQJ4, UniRef:UniRef90_A0A2S8NQJ4
contig_1	cds	11417	11545	-	GCA_026239495_00014		DDE Tnp4 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2P6FAK5, UniRef:UniRef90_A0A3S0SL73
contig_1	cds	11781	12065	-	GCA_026239495_00015		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2P6FBT4
contig_1	cds	12656	14032	+	GCA_026239495_00016		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A1J0U0Z2
contig_1	cds	14135	14290	+	GCA_026239495_00017		hypothetical protein	
contig_1	cds	14501	14710	-	GCA_026239495_00018		transposase family protein	SO:0001217, UniRef:UniRef50_A0A3S0U8T3, UniRef:UniRef90_UPI0030D40474
contig_1	cds	14875	15327	-	GCA_026239495_00019		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0SKZ0
contig_1	cds	15634	16068	-	GCA_026239495_00020		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_UPI00313ABA5D
contig_1	cds	16194	16352	-	GCA_026239495_00021		hypothetical protein	
contig_1	cds	16358	16915	-	GCA_026239495_00022		hypothetical protein	PFAM:PF00665.32
contig_1	cds	17095	17547	+	GCA_026239495_00023		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0SKZ0
contig_1	cds	17712	17921	+	GCA_026239495_00024		transposase family protein	SO:0001217, UniRef:UniRef50_A0A3S0U8T3, UniRef:UniRef90_UPI0030D40474
contig_1	cds	18424	18990	+	GCA_026239495_00025		UPF0236 family transposase-like protein	SO:0001217, UniRef:UniRef50_A0A2S8NRK3, UniRef:UniRef90_UPI0030CDD951
contig_1	cds	19207	19512	+	GCA_026239495_00026		IS3 family transposase	SO:0001217, UniRef:UniRef50_UPI00313B6F07
contig_1	cds	19579	19905	+	GCA_026239495_00027		(pseudo) Transposase	SO:0001217, UniRef:UniRef50_A0AAI9T3E2, UniRef:UniRef90_A0AAI9T3E2
contig_1	cds	20160	20930	+	GCA_026239495_00028		IS3 family transposase	GO:0004803, SO:0001217, UniRef:UniRef50_A0A222EPI4, UniRef:UniRef90_A0AAI9T355
contig_1	cds	21292	21456	+	GCA_026239495_00029		hypothetical protein	
contig_1	cds	21982	22143	+	GCA_026239495_00030		(pseudo) Hypothetical dna helicase probably c-terminal truncated protein	SO:0001217, UniRef:UniRef50_Q14MF5, UniRef:UniRef90_Q14MF5
contig_1	cds	22233	22553	+	GCA_026239495_00031		(pseudo) AAA family ATPase	SO:0001217, UniRef:UniRef50_UPI001F4DE144, UniRef:UniRef90_UPI001F4DE144
contig_1	cds	22988	23278	+	GCA_026239495_00032		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JHR7
contig_1	cds	23335	26520	+	GCA_026239495_00033		protein translocase SecDF, variant type	SO:0001217, UniRef:UniRef50_W0GL69, UniRef:UniRef90_A0A0K2JI67
contig_1	cds	26546	27058	+	GCA_026239495_00034		adenine phosphoribosyltransferase	EC:2.4.2.7, GO:0003999, GO:0009116, KEGG:K00759, SO:0001217, UniRef:UniRef50_R4ULU4, UniRef:UniRef90_A0A0K2JI77
contig_1	cds	27110	29359	+	GCA_026239495_00035	spoT	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase	EC:3.1.7.2, GO:0005886, GO:0008893, GO:0015970, SO:0001217, UniRef:UniRef50_O34098, UniRef:UniRef90_O34098
contig_1	cds	29453	30682	+	GCA_026239495_00036		Motility-associated protein Scm1	SO:0001217, UniRef:UniRef50_W0GKY2
contig_1	cds	30777	33533	+	GCA_026239495_00037	alaS	alanine--tRNA ligase	EC:6.1.1.7, GO:0000166, GO:0004813, GO:0005737, GO:0006419, SO:0001217, UniRef:UniRef50_Q6F0K3, UniRef:UniRef90_A0A0K2JHR1
contig_1	cds	33526	33945	+	GCA_026239495_00038	ruvX	Holliday junction resolvase RuvX	EC:3.1.21.10, GO:0006364, SO:0001217, UniRef:UniRef50_Q14MG2, UniRef:UniRef90_A0A0K2JI62
contig_1	cds	34043	34141	-	GCA_026239495_00039		(pseudo) Integrase catalytic domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0RTI2, UniRef:UniRef90_A0A3S0RTI2
contig_1	cds	34248	34562	+	GCA_026239495_00040		Lipoprotein	SO:0001217, UniRef:UniRef50_A0AAJ4EJ60
contig_1	cds	35524	37011	-	GCA_026239495_00041		Spiroplasma plectrovirus-related protein	SO:0001217, UniRef:UniRef50_A0A345DN49, UniRef:UniRef90_UPI0030D36863
contig_1	cds	37011	38264	-	GCA_026239495_00042		Phage portal protein	SO:0001217, UniRef:UniRef50_A0A2P6FEB3, UniRef:UniRef90_A0A2P6FEB3
contig_1	cds	38278	38547	-	GCA_026239495_00043		Plectrovirus-related protein	SO:0001217, UniRef:UniRef50_A0A432ZW41, UniRef:UniRef90_A0A3S0STQ7
contig_1	cds	38846	39304	-	GCA_026239495_00044		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_UPI003277911A, UniRef:UniRef90_UPI003277911A
contig_1	cds	39398	39850	+	GCA_026239495_00045		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0SKZ0
contig_1	cds	40015	40224	+	GCA_026239495_00046		DDE Tnp4 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0U8T3
contig_1	cds	40531	40983	+	GCA_026239495_00047		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0SKZ0
contig_1	cds	41148	41357	+	GCA_026239495_00048		transposase family protein	SO:0001217, UniRef:UniRef50_A0A3S0U8T3, UniRef:UniRef90_UPI0030D40474
contig_1	cds	41515	41703	-	GCA_026239495_00049		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI001F4C9FB6, UniRef:UniRef90_UPI001F4C9FB6
contig_1	cds	41658	41942	-	GCA_026239495_00050		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JGU8
contig_1	cds	42545	42757	-	GCA_026239495_00051		hypothetical protein	
contig_1	cds	43026	45047	+	GCA_026239495_00052		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JI72
contig_1	cds	45050	45637	+	GCA_026239495_00053		hypothetical protein	SO:0001217, UniRef:UniRef50_A0AAI9T420, UniRef:UniRef90_A0A345DQI3
contig_1	cds	45884	46219	+	GCA_026239495_00054		hypothetical protein	
contig_1	cds	46250	46633	+	GCA_026239495_00055		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_UPI0032728437, UniRef:UniRef90_UPI0032728437
contig_1	cds	46916	47173	+	GCA_026239495_00056		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI00326FFB33, UniRef:UniRef90_UPI00326FFB33
contig_1	cds	47216	47437	+	GCA_026239495_00057		(pseudo) hypothetical protein	SO:0001217, UniRef:UniRef50_A0A2S8NT37, UniRef:UniRef90_UPI00313C4560
contig_1	cds	47517	47969	+	GCA_026239495_00058		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A1J0U0V7
contig_1	cds	48007	48672	+	GCA_026239495_00059		NERD domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1J0U0T7, UniRef:UniRef90_A0A0K2JHQ6
contig_1	cds	48686	49066	+	GCA_026239495_00060	nusB	Transcription antitermination protein NusB	SO:0001217, UniRef:UniRef50_W0GPE5, UniRef:UniRef90_A0A0K2JI57
contig_1	cds	49332	49481	-	GCA_026239495_00061		DDE Tnp4 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2P6FAK5, UniRef:UniRef90_A0A3S0UC55
contig_1	cds	49703	50074	-	GCA_026239495_00062		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2P6FCQ3
contig_1	cds	50367	50543	+	GCA_026239495_00063		hypothetical protein	
contig_1	cds	52211	52420	-	GCA_026239495_00064		transposase family protein	SO:0001217, UniRef:UniRef50_A0A3S0U8T3, UniRef:UniRef90_UPI0030D40474
contig_1	cds	52585	53037	-	GCA_026239495_00065		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0SKZ0
contig_1	cds	53240	54055	+	GCA_026239495_00066		hypothetical protein	PFAM:PF00665.32
contig_1	cds	54301	54510	-	GCA_026239495_00067		DDE Tnp4 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0U8T3
contig_1	cds	54675	55127	-	GCA_026239495_00068		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0SKZ0
contig_1	cds	55232	55369	-	GCA_026239495_00069		DDE Tnp4 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2P6FAK5, UniRef:UniRef90_A0A3S0SL73
contig_1	cds	55507	56058	-	GCA_026239495_00070		IS5 family transposase	SO:0001217, UniRef:UniRef50_A0A3S0USN0
contig_1	cds	56274	57353	+	GCA_026239495_00071	hemW	radical SAM family heme chaperone HemW	GO:0005737, GO:0006779, GO:0051539, GO:0051989, SO:0001217, UniRef:UniRef50_Q14P95, UniRef:UniRef90_Q14P95
contig_1	cds	58840	59292	+	GCA_026239495_00072		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0SKZ0
contig_1	cds	59456	59665	+	GCA_026239495_00073		transposase family protein	SO:0001217, UniRef:UniRef50_A0A3S0U8T3, UniRef:UniRef90_UPI0030D40474
contig_1	cds	60952	61089	-	GCA_026239495_00074		DDE Tnp4 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2P6FAK5, UniRef:UniRef90_A0A3S0SL73
contig_1	cds	61327	61611	-	GCA_026239495_00075		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2P6FBT4
contig_1	cds	61626	61781	-	GCA_026239495_00076		(pseudo) transposase family protein	SO:0001217, UniRef:UniRef50_A0A2P6FAM1, UniRef:UniRef50_A0A2P6FDZ5, UniRef:UniRef90_UPI0037DD9F5D
contig_1	cds	61990	62700	+	GCA_026239495_00077		Spiroplasmavirus-related protein	SO:0001217, UniRef:UniRef50_A0A0K2JHP6
contig_1	cds	62651	63499	+	GCA_026239495_00078		Putative rrna methyl transferase protein	SO:0001217, UniRef:UniRef50_W0GRH9, UniRef:UniRef90_Q6XK16
contig_1	cds	63499	64098	+	GCA_026239495_00079	yihA	ribosome biogenesis GTP-binding protein YihA/YsxC	GO:0003924, GO:0005525, GO:0005737, GO:0042254, GO:0043022, SO:0001217, UniRef:UniRef50_Q6F1A9, UniRef:UniRef90_A0A0K2JH70
contig_1	cds	64385	64771	+	GCA_026239495_00080		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0SKZ0
contig_1	cds	64798	65250	+	GCA_026239495_00081		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3S0SKZ0
contig_1	cds	65415	65624	+	GCA_026239495_00082		transposase family protein	SO:0001217, UniRef:UniRef50_A0A3S0U8T3, UniRef:UniRef90_UPI0030D40474
contig_1	cds	65851	66315	-	GCA_026239495_00083		DUF3688 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2S8NSQ0
contig_1	cds	66531	66686	+	GCA_026239495_00084		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI00313F2ADF
contig_1	cds	67221	67358	+	GCA_026239495_00085		DDE Tnp4 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2P6FAK5, UniRef:UniRef90_A0A3S0SL73
contig_1	tRNA	67963	68038	+	GCA_026239495_00086	trnN	tRNA-Asn(gtt)	SO:0000257
contig_1	tRNA	68073	68148	+	GCA_026239495_00087	trnE	tRNA-Glu(ttc)	SO:0000259
contig_1	tRNA	68153	68228	+	GCA_026239495_00088	trnV	tRNA-Val(tac)	SO:0000273
contig_1	tRNA	68326	68401	+	GCA_026239495_00089	trnK	tRNA-Lys(ttt)	SO:0000265
contig_1	tRNA	68419	68503	+	GCA_026239495_00090	trnL	tRNA-Leu(tag)	SO:0000264
contig_1	cds	69416	69787	+	GCA_026239495_00091		Transposase Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2P6FCQ3, UniRef:UniRef90_A0A2P6FDQ8
contig_1	cds	69952	70152	+	GCA_026239495_00092		transposase family protein	SO:0001217, UniRef:UniRef50_A0A3S0U8T3, UniRef:UniRef90_UPI0030D40474
contig_1	cds	70401	71063	+	GCA_026239495_00093		hypothetical protein	PFAM:PF00665.32
