# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	44	259	+	CR182_00001		hypothetical protein	
contig_1	cds	286	714	+	CR182_00002		hypothetical protein	
contig_1	cds	855	944	-	CR182_00003		hypothetical protein	
contig_1	cds	1138	1284	-	CR182_00004		hypothetical protein	
contig_1	cds	1709	2017	-	CR182_00005		hypothetical protein	PFAM:PF01327.26
contig_1	cds	2358	2570	-	CR182_00006	def	(pseudo) peptide deformylase	EC:3.5.1.88, GO:0036211, GO:0042586, KEGG:K01462, SO:0001217, UniRef:UniRef50_UPI0032B12A00, UniRef:UniRef90_UPI0032B12A00
contig_1	cds	2841	2960	-	CR182_00007		hypothetical protein	
contig_1	cds	3061	3195	+	CR182_00008		hypothetical protein	
contig_1	cds	3185	3355	+	CR182_00009		hypothetical protein	
contig_1	cds	3385	3552	+	CR182_00010		hypothetical protein	
contig_1	cds	3633	3791	+	CR182_00011		hypothetical protein	
contig_1	cds	3749	4123	+	CR182_00012		(pseudo) guanylate kinase	SO:0001217, UniRef:UniRef50_UPI0020A341AC, UniRef:UniRef90_UPI0020A341AC
contig_1	cds	4901	5035	+	CR182_00013		hypothetical protein	
contig_1	cds	5367	5624	-	CR182_00014		(pseudo) 16S rRNA methyltransferase RsmB/F	SO:0001217, UniRef:UniRef50_UPI0030D3C69C, UniRef:UniRef90_UPI0030D3C69C
contig_1	cds	5703	5843	-	CR182_00015		hypothetical protein	
contig_1	cds	5847	6140	-	CR182_00016		hypothetical protein	
contig_1	cds	6159	6404	-	CR182_00017	nusB	transcription antitermination factor NusB	SO:0001217, UniRef:UniRef50_UPI00313B4C5C
contig_1	cds	6377	6640	-	CR182_00018	nusB	transcription antitermination factor NusB	SO:0001217, UniRef:UniRef50_UPI0030CE0D6D
contig_1	cds	6658	7233	-	CR182_00019	gmk	guanylate kinase	EC:2.7.4.8, GO:0004385, GO:0006163, SO:0001217, UniRef:UniRef50_R4UKX7, UniRef:UniRef90_A0A0K2JH99
contig_1	cds	7258	7797	-	CR182_00020		Ribosomal RNA small subunit methyltransferase D	SO:0001217, UniRef:UniRef50_A0A2P6FBQ4
contig_1	cds	7898	8485	+	CR182_00021	def	peptide deformylase	EC:3.5.1.88, GO:0036211, GO:0042586, KEGG:K01462, SO:0001217, UniRef:UniRef50_Q6MU23, UniRef:UniRef90_A0A3S0RDE4
contig_1	cds	8580	9131	+	CR182_00022		Peptide deformylase	SO:0001217, UniRef:UniRef50_A0A432ZVL7
contig_1	cds	9330	11090	+	CR182_00023	rnjA	ribonuclease J1	SO:0001217, UniRef:UniRef50_A0A2P6FBM6, UniRef:UniRef90_A0A2P6FBM6
contig_1	cds	11268	11555	+	CR182_00024		Alanyl-tRNA synthetase	SO:0001217, UniRef:UniRef50_A0A0K2JHA5
contig_1	cds	11689	12096	+	CR182_00025		(pseudo) alanine--tRNA ligase-related protein	SO:0001217, UniRef:UniRef50_UPI0037DC9D47, UniRef:UniRef90_UPI0037DC9D47
